Date,Food,Machinery,Transport,Petroleum,Textile,Agri,Metal,Miscellanous,F&I,Other,Total_BOP,Services,Total
2018-09-01,368385,588362,168899,"947,187",266947,691920,343802,86467,102593,648663,"4,008,040",764000,"4,772,040"
2018-10-01,398771,549084,242732,"1,482,515",319057,804474,343906,94892,125178,569771,"4,680,022",841000,"5,521,022"
2018-11-01,402580,538335,206656,"1,202,180",326343,665498,292603,84265,110832,534370,"4,141,998",870000,"5,011,998"
2018-12-01,434079,572584,182561,"1,241,460",334742,742584,298366,82608,117459,1004443,"4,775,967",1041000,"5,816,967"
2019-01-01,404663,597038,205754,"1,055,474",393771,698476,339963,85738,114219,618332,"4,284,989",849000,"5,133,989"
2019-02-01,350140,504937,156835,"751,323",337714,555064,291303,80181,90953,470412,"3,406,953",741000,"4,147,953"
2019-03-01,358341,521336,186053,"945,217",379678,653309,301066,84848,108492,796651,"4,118,007",829000,"4,947,007"
2019-04-01,411106,583785,172064,"1,058,252",381921,690770,311761,93065,110149,542387,"4,134,963",928000,"5,062,963"
2019-05-01,421758,629953,160300,"984,770",322985,685533,333642,73120,115577,887548,"4,384,031",1164000,"5,548,031"
2019-06-01,334654,558593,164243,"1,077,829",253141,599614,265801,61660,102335,824783,"4,037,982",790000,"4,827,982"
2019-07-01,361095,585456,195622,"987,932",236914,757900,360000,73067,107955,734936,"4,184,969",880000,"5,064,969"
2019-08-01,332412,466467,131206,"979,341",164290,588401,260405,64142,91694,624064,"3,519,035",936000,"4,455,035"
2019-09-01,311843,528878,106845,"918,009",156521,553300,253978,60184,85143,524560,"3,328,974",577000,"3,905,974"
2019-10-01,370197,528414,145732,"867,127",206147,731610,301753,72625,96870,503275,"3,630,008",712000,"4,342,008"
2019-11-01,417551,488112,97201,"866,628",254768,558638,229673,67588,94736,796606,"3,682,030",672000,"4,354,030"
2019-12-01,390022,647283,96212,"714,709",392491,524948,266792,68445,96780,786886,"3,791,008",755000,"4,546,008"
2020-01-01,444425,641903,132722,"796,218",428375,590066,299063,81052,101603,595759,"3,907,979",706000,"4,613,979"
2020-02-01,413963,466740,111440,"934,301",393165,506716,211851,65986,93916,550712,"3,560,959",877000,"4,437,959"
2020-03-01,403686,451112,110948,"648,895",354078,571805,268571,65252,84492,523131,"3,312,985",560000,"3,872,985"
2020-04-01,421951,339009,131489,"721,852",283197,539015,299122,61417,83024,425943,"3,139,972",582000,"3,721,972"
2020-05-01,361540,348386,88460,"418,098",204616,540254,233502,50159,73356,628384,"2,800,042",393000,"3,193,042"
2020-06-01,482446,701212,164707,"395,636",230478,580557,243883,59179,97257,798180,"3,559,021",617000,"4,176,021"
2020-07-01,488641,732608,131403,"555,511",246958,597005,316279,80989,96349,501966,"3,555,011",765000,"4,320,011"
2020-08-01,394173,594405,95945,"745,537",289640,536062,289802,79105,87222,299577,"3,237,024",459000,"3,696,024"
2020-09-01,486908,608550,166536,"775,172",324061,660522,315704,98171,99515,481871,"3,817,981",543000,"4,360,981"
